               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.035967,             0.01928,            0.014758,             0.71182,             0.57429,             0.66142,             0.43098,             0.03679,            0.009557,            0.019944,             0.00505,             0.00505,             0.00505
                  52,            0.035125,            0.018677,            0.017381,              0.7314,             0.59143,             0.70429,             0.48475,            0.034807,           0.0095322,            0.016691,            0.004951,            0.004951,            0.004951
                  53,            0.034311,            0.019741,            0.013937,             0.69317,             0.61424,             0.64356,             0.44041,            0.034218,           0.0090814,            0.016987,            0.004852,            0.004852,            0.004852
                  54,            0.036023,             0.01912,            0.014564,             0.74809,             0.58686,             0.62325,             0.41278,            0.036896,            0.008968,             0.01769,            0.004753,            0.004753,            0.004753
                  55,             0.03403,            0.019829,            0.013875,             0.75416,             0.56454,              0.6264,             0.45131,            0.036676,             0.00918,            0.016025,            0.004654,            0.004654,            0.004654
                  56,            0.034546,            0.018141,            0.012784,             0.72696,             0.58679,             0.66685,             0.47534,            0.033928,           0.0092475,            0.016329,            0.004555,            0.004555,            0.004555
                  57,            0.034435,            0.017955,              0.0136,             0.66152,             0.60759,             0.64963,             0.44622,            0.035531,           0.0092296,            0.018879,            0.004456,            0.004456,            0.004456
                  58,            0.034055,            0.018456,            0.012761,              0.6474,             0.60993,             0.65619,              0.4237,            0.038147,           0.0094338,            0.017965,            0.004357,            0.004357,            0.004357
                  59,             0.03411,            0.017574,            0.013269,             0.63132,             0.60439,             0.64211,             0.46364,            0.035338,           0.0094114,            0.016156,            0.004258,            0.004258,            0.004258
                  60,            0.035054,            0.018591,            0.011096,             0.67674,             0.59228,             0.65212,             0.45629,            0.035854,           0.0091972,             0.01508,            0.004159,            0.004159,            0.004159
                  61,            0.035345,            0.018774,            0.011995,               0.648,             0.61828,             0.63944,             0.43455,            0.035092,           0.0094163,            0.018754,             0.00406,             0.00406,             0.00406
                  62,            0.036227,            0.017323,            0.012245,             0.64688,             0.61398,             0.60164,             0.40834,            0.036046,           0.0098305,            0.018137,            0.003961,            0.003961,            0.003961
                  63,            0.033109,            0.018488,            0.011626,             0.64353,             0.60301,             0.59436,             0.41049,            0.034276,           0.0099334,            0.018702,            0.003862,            0.003862,            0.003862
                  64,            0.032998,            0.018129,            0.012666,             0.70869,             0.59555,             0.64774,             0.43848,            0.034842,           0.0099442,            0.015986,            0.003763,            0.003763,            0.003763
                  65,            0.032554,            0.018798,            0.011195,             0.64547,              0.6243,             0.65827,             0.44162,            0.034965,           0.0099959,             0.01448,            0.003664,            0.003664,            0.003664
                  66,            0.031437,            0.017734,            0.010216,              0.6791,             0.60927,             0.68013,             0.45592,            0.034133,           0.0098085,            0.013665,            0.003565,            0.003565,            0.003565
                  67,            0.032044,            0.018573,           0.0098886,             0.65398,             0.60864,             0.66582,             0.46343,            0.034836,           0.0099264,            0.012793,            0.003466,            0.003466,            0.003466
                  68,            0.031454,            0.018577,           0.0093728,             0.62522,             0.62831,             0.64659,             0.41899,            0.034237,            0.010059,            0.013485,            0.003367,            0.003367,            0.003367
                  69,             0.03266,            0.018871,           0.0099115,             0.67677,             0.60544,             0.63224,             0.44313,            0.035266,             0.01005,            0.014168,            0.003268,            0.003268,            0.003268
                  70,            0.030268,            0.017349,           0.0096163,             0.70974,             0.60636,             0.64504,             0.45487,             0.03461,            0.010268,            0.014733,            0.003169,            0.003169,            0.003169
                  71,            0.032348,            0.017955,            0.009593,             0.80791,             0.58868,             0.66205,             0.49521,            0.034502,           0.0099767,            0.014462,             0.00307,             0.00307,             0.00307
                  72,            0.030784,            0.017919,           0.0082174,             0.81605,             0.58821,              0.7108,             0.51572,            0.034815,           0.0096547,            0.012852,            0.002971,            0.002971,            0.002971
                  73,            0.031809,            0.016887,            0.010606,             0.61834,             0.69107,             0.67957,             0.48589,            0.033503,           0.0098152,            0.013897,            0.002872,            0.002872,            0.002872
                  74,            0.032449,            0.016698,           0.0099808,              0.6204,             0.63753,              0.6728,             0.48155,            0.034871,            0.010026,            0.012968,            0.002773,            0.002773,            0.002773
                  75,            0.029765,            0.017734,           0.0097568,             0.58472,              0.7029,             0.72196,             0.47921,            0.034706,            0.010123,             0.01262,            0.002674,            0.002674,            0.002674
                  76,            0.031772,            0.017532,           0.0099209,             0.82786,             0.57886,             0.71502,             0.48977,            0.034074,           0.0099061,            0.012656,            0.002575,            0.002575,            0.002575
                  77,            0.031082,            0.017941,            0.008386,             0.72816,             0.62034,             0.68089,             0.49086,            0.034262,           0.0096728,            0.011792,            0.002476,            0.002476,            0.002476
                  78,            0.030853,            0.017816,           0.0086157,             0.81271,             0.55958,              0.6704,             0.48659,            0.034408,           0.0096544,            0.012777,            0.002377,            0.002377,            0.002377
                  79,            0.027894,             0.01745,           0.0090916,             0.82035,             0.57586,             0.66914,             0.47642,            0.033881,           0.0096589,            0.013796,            0.002278,            0.002278,            0.002278
                  80,            0.029926,            0.017924,            0.008347,             0.71304,             0.59327,             0.65282,             0.47212,            0.034045,           0.0097696,             0.01481,            0.002179,            0.002179,            0.002179
                  81,            0.028717,            0.017095,           0.0081413,             0.77948,             0.60336,             0.67441,             0.49033,            0.033525,           0.0097781,            0.013687,             0.00208,             0.00208,             0.00208
                  82,            0.029303,            0.017135,           0.0083818,             0.84937,             0.57603,             0.65361,             0.47763,            0.033909,            0.010238,            0.013443,            0.001981,            0.001981,            0.001981
                  83,             0.02809,            0.017369,           0.0087869,             0.66826,             0.64754,              0.6809,             0.47197,            0.034991,            0.010295,            0.011655,            0.001882,            0.001882,            0.001882
                  84,            0.028682,            0.016552,           0.0078311,              0.8728,             0.55748,              0.6478,             0.45072,            0.034205,            0.010425,             0.01261,            0.001783,            0.001783,            0.001783
                  85,            0.027217,            0.016401,           0.0083074,             0.84148,             0.56397,             0.63911,             0.46588,            0.034336,            0.010325,            0.015559,            0.001684,            0.001684,            0.001684
                  86,            0.027923,            0.018835,            0.007813,              0.7864,              0.5791,              0.6385,             0.44717,            0.034608,            0.010111,            0.016191,            0.001585,            0.001585,            0.001585
                  87,            0.028322,            0.017633,           0.0071675,             0.83706,             0.58972,             0.64665,              0.4624,            0.034367,            0.010127,            0.015314,            0.001486,            0.001486,            0.001486
                  88,            0.027029,            0.016242,           0.0070358,             0.71922,             0.58618,             0.64826,             0.46539,            0.034029,            0.010413,            0.014195,            0.001387,            0.001387,            0.001387
                  89,            0.026838,            0.017001,           0.0073854,             0.71863,             0.58648,             0.65557,             0.47656,            0.034182,            0.010254,            0.013366,            0.001288,            0.001288,            0.001288
                  90,            0.028535,            0.016492,           0.0077285,             0.70345,             0.60133,             0.65417,             0.48004,            0.033952,              0.0102,            0.013729,            0.001189,            0.001189,            0.001189
                  91,            0.029027,            0.015845,           0.0088052,               0.773,             0.57862,             0.66134,             0.48514,            0.034509,            0.010358,            0.013146,             0.00109,             0.00109,             0.00109
                  92,            0.026553,            0.017265,           0.0059333,             0.87217,              0.5598,             0.67005,              0.4977,            0.034413,            0.010274,            0.013848,            0.000991,            0.000991,            0.000991
                  93,            0.026227,            0.015642,           0.0075035,             0.89057,             0.56099,             0.66306,             0.49299,            0.034176,            0.010111,            0.014265,            0.000892,            0.000892,            0.000892
                  94,            0.026118,            0.017277,           0.0072303,             0.87219,             0.55188,             0.69262,             0.48928,             0.03332,            0.010163,            0.012963,            0.000793,            0.000793,            0.000793
                  95,            0.026314,            0.016896,           0.0070865,             0.87385,             0.55504,             0.65851,             0.47866,            0.033312,            0.010296,             0.01318,            0.000694,            0.000694,            0.000694
                  96,            0.024882,            0.016254,           0.0073095,             0.84418,             0.56769,             0.65492,              0.4736,            0.033137,            0.010323,            0.013003,            0.000595,            0.000595,            0.000595
                  97,            0.027302,            0.018126,           0.0057072,             0.84279,              0.5736,             0.65161,              0.4747,            0.032851,            0.010268,            0.012804,            0.000496,            0.000496,            0.000496
                  98,            0.026457,            0.016337,           0.0061769,              0.8361,             0.57075,             0.65219,             0.47748,             0.03303,            0.010244,            0.012036,            0.000397,            0.000397,            0.000397
                  99,            0.026015,            0.016891,           0.0057287,             0.84549,              0.5742,             0.65703,             0.47785,            0.032495,            0.010223,            0.011726,            0.000298,            0.000298,            0.000298
